" ","2015","2016","2017"
"CẢ NƯỚC",21091.7,19646.6,19415.8
"Đồng bằng sông Hồng",3636.0,3583.2,3533.8
"Hà Nội",616.7,605.7,594.4
"Vĩnh Phúc",184.1,182.7,191.1
"Bắc Ninh",237.4,231.3,224.9
"Quảng Ninh",93.3,92.5,90.4
"Hải Dương",398.8,392.2,386.5
"Hải Phòng",254.7,248.1,243.8
"Hưng Yên",255.7,244.4,233.2
"Thái Bình",573.4,570.0,566.8
"Hà Nam",220.0,215.6,213.6
"Nam Định",526.8,525.5,517.3
"Ninh Bình",275.1,275.2,271.8
"Trung du và miền núi phía Bắc",1422.8,1454.3,1439.7
"Hà Giang",53.5,52.6,52.6
"Cao Bằng",17.0,18.4,18.2
"Bắc Kạn",50.0,51.2,49.4
"Tuyên Quang",120.6,119.8,118.4
"Lào Cai",56.4,58.0,58.4
"Yên Bái",105.4,107.9,107.3
"Thái Nguyên",167.4,168.7,168.5
"Lạng Sơn",79.8,85.1,81.6
"Bắc Giang",317.3,320.0,312.8
"Phú Thọ",212.5,221.7,221.7
"Điện Biên",53.6,52.4,53.2
"Lai Châu",35.0,35.4,36.0
"Sơn La",64.2,68.4,69.7
"Hoà Bình",90.1,94.7,91.9
"Bắc Trung Bộ và Duyên hải miền Trung",3598.9,3530.6,3590.1
"Thanh Hoá",785.1,795.3,794.6
"Nghệ An",569.7,601.1,606.7
"Hà Tĩnh",312.9,328.7,241.9
"Quảng Bình",180.0,181.0,184.5
"Quảng Trị",138.5,146.3,146.2
"Thừa Thiên Huế",167.6,169.5,178.3
"Đà Nẵng",17.1,17.2,17.5
"Quảng Nam",240.4,219.1,240.8
"Quảng Ngãi",231.1,209.4,231.0
"Bình Định",330.0,320.3,320.4
"Phú Yên",195.6,182.1,185.1
"Khánh Hoà",127.5,121.0,119.2
"Ninh Thuận",85.8,96.5,105.6
"Bình Thuận",217.6,143.1,218.3
"Tây Nguyên",481.9,424.4,529.9
"Kon Tum",35.8,30.8,32.9
"Gia Lai",133.4,111.1,140.9
"Đắk Lắk",230.2,209.5,275.9
"Đắk Nông",28.9,25.9,29.4
"Lâm Đồng",53.6,47.1,50.8
"Đông Nam Bộ",424.4,422.8,439.1
"Bình Phước",11.0,9.2,10.8
"Tây Ninh",255.1,250.6,258.1
"Bình Dương",11.5,10.9,11.2
"Đồng Nai",88.1,89.2,92.2
"Bà Rịa - Vũng Tàu",35.1,37.4,40.3
"TP.Hồ Chí Minh",23.6,25.5,26.5
"Đồng bằng sông Cửu Long",11527.7,10231.3,9883.2
"Long An",1569.7,1406.5,1310.0
"Tiền Giang",541.0,503.1,470.5
"Bến Tre",87.6,0.8,69.4
"Trà Vinh",469.3,277.7,353.3
"Vĩnh Long",437.0,390.5,354.1
"Đồng Tháp",1443.2,1420.3,1254.4
"An Giang",1804.4,1719.9,1660.4
"Kiên Giang",2224.5,1850.3,1799.7
"Cần Thơ",645.3,615.8,556.7
"Hậu Giang",618.5,556.1,531.5
"Sóc Trăng",1348.0,1181.8,1186.0
"Bạc Liêu",339.2,308.5,333.3
"Cà Mau",..,..,3.9

